product,MAE,RMSE,R2,data_points
P008,661.4394871385964,724.8186889170055,0.3850804203414331,3
P005,798.3752988281252,1041.9234104871427,0.47847715871188434,3
P001,1044.2707704715426,1327.576918630189,-3.038433564774534,3
P006,1069.0772712902815,1103.985248138823,-1.3725732189851705,3
P002,675.0728837614282,750.0743156480938,-5.608102455947989,3
P003,1025.1575876419204,1181.2853090812453,-16.83393220034011,3
P009,675.0949217659758,814.0608629369469,-9.3842098391362,3
P004,1820.8895014367852,2021.3887591166178,-17.80543081817589,3
P010,1069.3102777137183,1193.3940631756338,-5.06975605136759,3
P007,997.8075352434408,1210.4037177287041,0.4357562361021936,3
